Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Buntingville Clinic,Clinic,MoH,-31.6338,28.8665999999999,GPS
South Africa,Eastern Cape,Burgersdorp Clinic,Clinic,MoH,-30.9948,26.3321,GPS
South Africa,Eastern Cape,Burgersdorp Hospital,District Hospital,MoH,-30.9935,26.314,GPS
South Africa,Eastern Cape,Burnshill Clinic,Clinic,MoH,-32.7689999999999,27.0550999999999,GPS
South Africa,Eastern Cape,Butterworth Gateway Clinic,Clinic,MoH,-32.3322999999999,28.1388,GPS
South Africa,Eastern Cape,Butterworth Hospital,District Hospital,MoH,-32.3322999999999,28.1388,GPS
South Africa,Eastern Cape,Caba Clinic,Clinic,MoH,-30.9362999999999,28.7115,GPS
South Africa,Eastern Cape,Caguba Clinic,Clinic,MoH,-31.6236999999999,29.4494,GPS
South Africa,Eastern Cape,Cala Hospital,District Hospital,MoH,-31.5223,27.6827,GPS
South Africa,Eastern Cape,Cambridge Clinic,Clinic,MoH,-32.9778999999999,27.8895,GPS
South Africa,Eastern Cape,Cancele Clinic,Clinic,MoH,-30.8478999999999,28.789,GPS
South Africa,Eastern Cape,Canzibe Gateway Clinic,Clinic,MoH,-31.8088,29.0657999999999,GPS
South Africa,Eastern Cape,Canzibe Hospital,District Hospital,MoH,-31.8088,29.0658999999999,GPS
South Africa,Eastern Cape,Cata Clinic,Clinic,MoH,-32.5947999999999,27.1248,GPS
South Africa,Eastern Cape,Cathcart Clinic,Clinic,MoH,-32.2982999999999,27.1445,GPS
South Africa,Eastern Cape,Cathcart Hospital,District Hospital,MoH,-32.2901999999999,27.1369,GPS
South Africa,Eastern Cape,CC Lloyd Clinic,Clinic,MoH,-32.7749999999999,26.6336,GPS
South Africa,Eastern Cape,Cecilia Makiwane Hospital,Regional Hospital,MoH,-32.9277999999999,27.7441999999999,GPS
South Africa,Eastern Cape,Central CHC Sandford,Community Health Centre,MoH,-33.9579999999999,25.6017,GPS
South Africa,Eastern Cape,Central Clinic East London,Clinic,MoH,-33.0168,27.9058999999999,GPS
South Africa,Eastern Cape,Central Clinic King William's Town,Clinic,MoH,-32.8793999999999,27.3953999999999,GPS
South Africa,Eastern Cape,Central Clinic Port Elizabeth,Clinic,MoH,-33.9643,25.6132999999999,GPS
South Africa,Eastern Cape,Chatty Clinic,Clinic,MoH,-33.8731999999999,25.4954,GPS
South Africa,Eastern Cape,Chris Hani Clinic,Clinic,MoH,-32.9545999999999,27.9251,GPS
South Africa,Eastern Cape,Cimezile Clinic,Clinic,MoH,-32.274,26.6235,GPS
South Africa,Eastern Cape,Civic Centre Clinic Mthatha,Clinic,MoH,-31.5825999999999,28.7898999999999,GPS
South Africa,Eastern Cape,Clarkebury Clinic,Clinic,MoH,-31.7918999999999,28.2879,GPS
South Africa,Eastern Cape,Clarkson Clinic,Clinic,MoH,-34.0103999999999,24.2944999999999,GPS
South Africa,Eastern Cape,Cloete Joubert Hospital  Barkly East,District Hospital,MoH,-30.9676,27.5851,GPS
South Africa,Eastern Cape,Coega Satellite Clinic,Satellite Clinic,MoH,-33.7567,25.6579,GPS
South Africa,Eastern Cape,Cofimvaba Hospital,District Hospital,MoH,-32.0118999999999,27.5835,GPS
South Africa,Eastern Cape,Colchester Health Post,Health Post,MoH,-33.683,25.8,GPS
South Africa,Eastern Cape,Coldstream Satellite Clinic,Satellite Clinic,MoH,-33.9617999999999,23.7008,GPS
South Africa,Eastern Cape,Collondale Satellite Clinic,Satellite Clinic,MoH,-33.0397,27.8188,GPS
South Africa,Eastern Cape,Cradock Gateway Clinic,Clinic,MoH,-32.1689,25.6161999999999,GPS
South Africa,Eastern Cape,Cradock Hospital,District Hospital,MoH,-32.1672999999999,25.6223999999999,GPS
South Africa,Eastern Cape,Cumakala 1 Clinic,Clinic,MoH,-32.5570999999999,27.4475,GPS
South Africa,Eastern Cape,Cumakala 2 Clinic,Clinic,MoH,-32.5628999999999,27.4486999999999,GPS
South Africa,Eastern Cape,Cumakala Satellite Clinic,Satellite Clinic,MoH,-31.6480999999999,27.2245999999999,GPS
South Africa,Eastern Cape,Cwecweni Clinic,Clinic,MoH,-31.9366999999999,28.0558,GPS
South Africa,Eastern Cape,Cwele Clinic,Clinic,MoH,-31.672,29.2129,GPS
South Africa,Eastern Cape,Cwili Clinic,Clinic,MoH,-32.677,28.3632999999999,GPS
South Africa,Eastern Cape,Daliwe Clinic,Clinic,MoH,-32.3019,27.1512999999999,GPS
